order_id,order_date,customer_id,product,category,quantity,unit_price,Total Amount
81,Null,004,Laptop,Electronics,1,100,100
81,Null,Null,Headphones,Electronics,2,50,100
81,2024/04/05,C-003,Phone,Electronics,2,200,400
81,Null,004,Laptop,Electronics,1,100,100
81,Null,Null,Headphones,Electronics,2,50,100
82,March 3 2024,CUST001,Phone,Electronics,2,100,200
82,Null,Null,Laptop,Electronics,0,50,0
84,2024/04/05,CUST001,Null,Electronics,3,300,900
84,Null,C-003,Laptop,Electronics,0,100,0
86,March 3 2024,004,Laptop,Electronics,0,100,0
87,01/02/2024,CUST001,Phone,Electronics,1,300,300
87,01/02/2024,CUST001,Phone,Electronics,1,300,300
88,Null,Null,Headphones,Electronics,1,1000,1000
88,March 3 2024,CUST001,Monitor,Electronics,0,1000,0
88,2024-01-01,004,Headphones,Electronics,0,300,0
89,Null,C-003,Monitor,Electronics,1,50,50
89,March 3 2024,CUST002,Laptop,Electronics,2,50,100
89,2024-01-01,CUST001,Tablet,Electronics,0,1000,0
90,2024-01-01,CUST002,Monitor,Electronics,3,1000,3000
90,2024/04/05,004,Headphones,Electronics,1,500,500
90,2024/04/05,004,Null,Electronics,0,50,0
92,Null,Null,Tablet,Electronics,3,0,0
92,Null,CUST001,Headphones,Electronics,0,200,0
93,2024-01-01,C-003,Phone,Electronics,1,100,100
93,2024/04/05,CUST002,Laptop,Electronics,1,300,300
93,2024-01-01,C-003,Phone,Electronics,1,100,100
95,Null,CUST001,Monitor,Electronics,0,300,0
95,Null,CUST001,Monitor,Electronics,0,300,0
96,Null,C-003,Phone,Electronics,1,500,500
96,Null,Null,Null,Electronics,0,300,0
96,March 3 2024,C-003,Tablet,Electronics,2,500,1000
96,2024/04/05,C-003,Monitor,Electronics,0,200,0
97,2024/04/05,C-003,Phone,Electronics,0,500,0
97,2024/04/05,C-003,Phone,Electronics,0,500,0
98,2024-01-01,004,Phone,Electronics,2,100,200
99,01/02/2024,CUST001,Null,Electronics,0,50,0
100,2024-01-01,Null,Null,Electronics,0,300,0
101,2024-01-01,004,Laptop,Electronics,0,200,0
101,2024-01-01,CUST001,Phone,Electronics,2,500,1000
103,Null,CUST002,Headphones,Electronics,2,100,200
103,Null,Null,Headphones,Electronics,1,100,100
103,01/02/2024,004,Phone,Electronics,0,200,0
103,March 3 2024,004,Null,Electronics,0,500,0
103,Null,CUST002,Headphones,Electronics,2,100,200
104,01/02/2024,Null,Laptop,Electronics,1,0,0
104,March 3 2024,004,Laptop,Electronics,0,0,0
104,01/02/2024,Null,Null,Electronics,0,50,0
104,01/02/2024,004,Laptop,Electronics,3,1000,3000
106,01/02/2024,CUST001,Headphones,Electronics,1,50,50
107,01/02/2024,CUST001,Headphones,Electronics,3,1000,3000
108,Null,Null,Laptop,Electronics,2,300,600
108,01/02/2024,004,Headphones,Electronics,0,100,0
111,March 3 2024,CUST002,Tablet,Electronics,2,300,600
111,2024-01-01,004,Phone,Electronics,0,200,0
113,2024-01-01,004,Null,Electronics,1,1000,1000
113,2024/04/05,004,Monitor,Electronics,2,200,400
113,Null,CUST001,Monitor,Electronics,3,100,300
113,2024-01-01,004,Tablet,Electronics,3,300,900
116,2024/04/05,Null,Phone,Electronics,0,300,0
116,2024/04/05,Null,Null,Electronics,0,50,0
117,Null,C-003,Tablet,Electronics,0,100,0
118,01/02/2024,C-003,Laptop,Electronics,0,100,0
121,Null,004,Phone,Electronics,1,500,500
121,Null,Null,Monitor,Electronics,3,200,600
122,01/02/2024,CUST002,Monitor,Electronics,0,300,0
123,2024-01-01,C-003,Phone,Electronics,3,1000,3000
123,2024/04/05,004,Laptop,Electronics,0,500,0
124,Null,004,Monitor,Electronics,1,0,0
124,01/02/2024,004,Null,Electronics,1,50,50
124,2024-01-01,Null,Monitor,Electronics,1,50,50
126,2024/04/05,004,Monitor,Electronics,0,200,0
128,2024/04/05,Null,Headphones,Electronics,1,500,500
128,01/02/2024,CUST002,Phone,Electronics,1,300,300
129,2024/04/05,C-003,Null,Electronics,0,200,0
129,Null,CUST001,Monitor,Electronics,1,200,200
129,2024-01-01,CUST001,Headphones,Electronics,3,500,1500
129,Null,CUST002,Tablet,Electronics,3,300,900
130,2024-01-01,C-003,Monitor,Electronics,3,100,300
130,2024-01-01,C-003,Laptop,Electronics,0,0,0
130,2024/04/05,Null,Tablet,Electronics,3,50,150
130,01/02/2024,CUST001,Monitor,Electronics,3,0,0
130,2024-01-01,CUST002,Null,Electronics,1,1000,1000
131,2024-01-01,CUST002,Laptop,Electronics,0,500,0
131,2024-01-01,Null,Null,Electronics,0,300,0
131,2024-01-01,Null,Laptop,Electronics,3,100,300
131,01/02/2024,Null,Tablet,Electronics,0,0,0
132,01/02/2024,CUST001,Null,Electronics,1,0,0
132,2024/04/05,Null,Tablet,Electronics,3,200,600
132,2024-01-01,CUST001,Tablet,Electronics,0,100,0
134,March 3 2024,004,Monitor,Electronics,0,300,0
134,01/02/2024,CUST002,Laptop,Electronics,0,0,0
135,2024-01-01,004,Tablet,Electronics,1,500,500
135,01/02/2024,Null,Tablet,Electronics,3,300,900
136,March 3 2024,C-003,Laptop,Electronics,1,300,300
136,2024/04/05,004,Phone,Electronics,3,500,1500
137,01/02/2024,CUST002,Tablet,Electronics,1,300,300
137,Null,Null,Tablet,Electronics,1,200,200
139,2024-01-01,Null,Phone,Electronics,0,200,0
139,2024/04/05,Null,Laptop,Electronics,1,500,500
139,2024-01-01,Null,Phone,Electronics,0,200,0
142,01/02/2024,004,Null,Electronics,0,500,0
143,Null,CUST002,Tablet,Electronics,2,0,0
144,Null,C-003,Null,Electronics,2,100,200
145,March 3 2024,004,Monitor,Electronics,1,200,200
146,Null,004,Monitor,Electronics,0,300,0
147,2024/04/05,CUST001,Phone,Electronics,3,50,150
147,01/02/2024,CUST001,Laptop,Electronics,1,200,200
147,Null,C-003,Null,Electronics,0,300,0
147,2024/04/05,CUST001,Phone,Electronics,3,50,150
148,01/02/2024,CUST001,Laptop,Electronics,1,300,300
148,2024-01-01,CUST001,Tablet,Electronics,1,500,500
